id,date,time
441,2023-10-06,16:0

442,2023-10-06,11:36

443,2023-10-06,0:57

444,2023-10-06,17:55

445,2023-10-06,18:33

446,2023-10-06,11:20

447,2023-10-06,1:49

448,2023-10-06,14:38

449,2023-10-06,5:59

450,2023-10-06,14:45

451,2023-10-06,12:59

452,2023-10-06,13:35

453,2023-10-06,3:16

454,2023-10-06,6:22

455,2023-10-06,7:25

456,2023-10-06,21:9

457,2023-10-06,10:35

458,2023-10-06,22:27

459,2023-10-06,16:41

460,2023-10-06,2:13

461,2023-10-06,7:6

462,2023-10-06,21:58

463,2023-10-06,20:18

464,2023-10-06,13:1

465,2023-10-06,8:12

466,2023-10-06,15:13

467,2023-10-06,4:11

468,2023-10-06,16:7

469,2023-10-06,4:57

470,2023-10-06,5:57

471,2023-10-06,6:21

472,2023-10-06,8:42

473,2023-10-06,3:50

474,2023-10-06,1:37

475,2023-10-06,13:18

476,2023-10-06,13:53

477,2023-10-06,15:29

478,2023-10-06,13:32

479,2023-10-06,5:2

480,2023-10-06,4:59

481,2023-10-06,2:1

482,2023-10-06,0:22

483,2023-10-06,2:32

484,2023-10-06,11:0

485,2023-10-06,15:50

486,2023-10-06,2:17

487,2023-10-06,11:19

488,2023-10-06,21:15

489,2023-10-06,11:13

490,2023-10-06,21:55

491,2023-10-06,3:1

492,2023-10-06,17:59

493,2023-10-06,3:10

494,2023-10-06,0:12

495,2023-10-06,0:49

496,2023-10-06,8:14

497,2023-10-06,10:3

498,2023-10-06,14:38

499,2023-10-06,12:52

500,2023-10-06,8:50

501,2023-10-06,17:53

502,2023-10-06,14:27

503,2023-10-06,22:30

504,2023-10-06,15:44

505,2023-10-06,6:55

506,2023-10-06,12:57

507,2023-10-06,8:33

508,2023-10-06,6:33

509,2023-10-06,19:30

510,2023-10-06,8:24

511,2023-10-06,13:27

512,2023-10-06,23:42

513,2023-10-06,10:12

514,2023-10-06,16:57

515,2023-10-06,14:44

516,2023-10-06,14:3

517,2023-10-06,23:45

518,2023-10-06,6:43

519,2023-10-06,4:48

520,2023-10-06,0:58

521,2023-10-06,3:41

522,2023-10-06,13:43

523,2023-10-06,19:35

524,2023-10-06,8:40

525,2023-10-06,10:21

526,2023-10-06,4:52

527,2023-10-06,1:53

528,2023-10-06,4:54

529,2023-10-06,17:3

530,2023-10-06,8:14

531,2023-10-06,4:21

532,2023-10-06,23:35

533,2023-10-06,6:44

534,2023-10-06,21:12

535,2023-10-06,7:18

536,2023-10-06,16:3

537,2023-10-06,4:3

538,2023-10-06,10:43

539,2023-10-06,0:5

540,2023-10-06,20:26

541,2023-10-06,1:1

542,2023-10-06,12:32

543,2023-10-06,4:20

544,2023-10-06,5:2

545,2023-10-06,17:8

546,2023-10-06,2:31

547,2023-10-06,10:52

548,2023-10-06,14:44

549,2023-10-06,14:12

550,2023-10-06,14:8

551,2023-10-06,10:29

552,2023-10-06,12:42

553,2023-10-06,13:54

554,2023-10-06,13:10

555,2023-10-06,22:43

556,2023-10-06,12:42

557,2023-10-06,9:48

558,2023-10-06,8:19

559,2023-10-06,7:41

560,2023-10-06,20:48

561,2023-10-06,20:45

562,2023-10-06,12:44

563,2023-10-06,6:33

564,2023-10-06,3:51

565,2023-10-06,15:35

566,2023-10-06,20:49

567,2023-10-06,17:25

568,2023-10-06,21:44

569,2023-10-06,6:34

570,2023-10-06,4:12

571,2023-10-06,22:49

572,2023-10-06,6:20

573,2023-10-06,14:34

574,2023-10-06,21:50

575,2023-10-06,20:53

576,2023-10-06,22:38

577,2023-10-06,22:19

578,2023-10-06,22:30

579,2023-10-06,11:27

580,2023-10-06,10:55

581,2023-10-06,15:26

582,2023-10-06,18:46

583,2023-10-06,12:50

584,2023-10-06,1:14

585,2023-10-06,2:51

586,2023-10-06,21:22

587,2023-10-06,9:6

588,2023-10-06,19:1

589,2023-10-06,1:6

590,2023-10-06,14:14

591,2023-10-06,3:51

592,2023-10-06,14:34

593,2023-10-06,12:15

594,2023-10-06,18:0

595,2023-10-06,2:40

596,2023-10-06,4:8

597,2023-10-06,19:42

598,2023-10-06,3:26

599,2023-10-06,22:47

600,2023-10-06,0:17

601,2023-10-06,16:46

602,2023-10-06,12:40

603,2023-10-06,13:51

604,2023-10-06,16:35

605,2023-10-06,11:20

606,2023-10-06,11:27

607,2023-10-06,10:24

608,2023-10-06,2:22

609,2023-10-06,15:38

610,2023-10-06,23:35

611,2023-10-06,12:23

612,2023-10-06,12:1

613,2023-10-06,21:0

614,2023-10-06,6:25

615,2023-10-06,22:37

616,2023-10-06,20:14

617,2023-10-06,19:16

618,2023-10-06,7:26

619,2023-10-06,13:30

620,2023-10-06,3:19

621,2023-10-06,4:13

622,2023-10-06,8:7

623,2023-10-06,21:41

624,2023-10-06,7:41

625,2023-10-06,19:50

626,2023-10-06,19:46

627,2023-10-06,23:49

628,2023-10-06,10:60

629,2023-10-06,9:46

630,2023-10-06,9:12

631,2023-10-06,11:29

632,2023-10-06,11:37

633,2023-10-06,11:30

634,2023-10-06,4:20

635,2023-10-06,2:14

636,2023-10-06,8:8

637,2023-10-06,1:4

638,2023-10-06,12:56

639,2023-10-06,6:10

640,2023-10-06,14:22

641,2023-10-06,5:18

642,2023-10-06,0:41

643,2023-10-06,5:51

644,2023-10-06,17:59

645,2023-10-06,5:48

646,2023-10-06,17:12

647,2023-10-06,23:47

648,2023-10-06,17:0

649,2023-10-06,5:52

650,2023-10-06,17:45

651,2023-10-06,19:26

652,2023-10-06,12:38

653,2023-10-06,20:56

654,2023-10-06,17:59

655,2023-10-06,4:56

656,2023-10-06,3:48

657,2023-10-06,4:25

658,2023-10-06,16:56

659,2023-10-06,3:53

660,2023-10-06,13:20

661,2023-10-06,11:17

662,2023-10-06,3:53

663,2023-10-06,13:52

664,2023-10-06,8:57

665,2023-10-06,11:52

666,2023-10-06,10:23

667,2023-10-06,5:58

668,2023-10-06,4:58

669,2023-10-06,2:49

670,2023-10-06,7:35

671,2023-10-06,20:37

672,2023-10-06,9:52

673,2023-10-06,14:1

674,2023-10-06,5:12

675,2023-10-06,4:59

676,2023-10-06,19:35

677,2023-10-06,11:37

678,2023-10-06,17:49

679,2023-10-06,3:11

680,2023-10-06,2:54

681,2023-10-06,17:49

682,2023-10-06,15:60

683,2023-10-06,4:13

684,2023-10-06,17:36

685,2023-10-06,6:37

686,2023-10-06,15:45

687,2023-10-06,13:59

688,2023-10-06,20:35

689,2023-10-06,10:9

690,2023-10-06,15:53

691,2023-10-06,11:18

692,2023-10-06,8:21

693,2023-10-06,5:5

694,2023-10-06,10:47

695,2023-10-06,6:26

696,2023-10-06,8:17

697,2023-10-06,0:5

698,2023-10-06,6:4

699,2023-10-06,13:23

700,2023-10-06,19:11

701,2023-10-06,12:54

702,2023-10-06,13:49

703,2023-10-06,15:12

704,2023-10-06,11:23

705,2023-10-06,14:13

706,2023-10-06,8:30

707,2023-10-06,5:6

708,2023-10-06,12:12

709,2023-10-06,6:18

710,2023-10-06,11:20

711,2023-10-06,3:5

712,2023-10-06,2:26

713,2023-10-06,15:40

714,2023-10-06,4:37

715,2023-10-06,10:15

716,2023-10-06,10:20

717,2023-10-06,4:50

718,2023-10-06,23:6

719,2023-10-06,10:14

720,2023-10-06,12:19

721,2023-10-06,1:51

722,2023-10-06,21:60

723,2023-10-06,22:44

724,2023-10-06,0:31

725,2023-10-06,7:17

726,2023-10-06,19:39

727,2023-10-06,0:46

728,2023-10-06,18:47

729,2023-10-06,6:14

730,2023-10-06,3:23

731,2023-10-06,15:35

732,2023-10-06,17:34

733,2023-10-06,22:48

734,2023-10-06,21:43

735,2023-10-06,2:24

736,2023-10-06,3:59

737,2023-10-06,10:41

738,2023-10-06,10:47

739,2023-10-06,14:21

740,2023-10-06,2:8

741,2023-10-06,1:26

742,2023-10-06,19:0

743,2023-10-06,6:1

744,2023-10-06,4:18

745,2023-10-06,1:36

746,2023-10-06,13:26

747,2023-10-06,17:30

748,2023-10-06,1:53

749,2023-10-06,21:24

750,2023-10-06,1:32

751,2023-10-06,6:36

752,2023-10-06,14:26

753,2023-10-06,10:52

754,2023-10-06,21:25

755,2023-10-06,11:18

756,2023-10-06,13:42

757,2023-10-06,21:55

758,2023-10-06,8:16

759,2023-10-06,4:32

760,2023-10-06,22:13

761,2023-10-06,15:5

762,2023-10-06,18:4

763,2023-10-06,14:33

764,2023-10-06,23:23

765,2023-10-06,19:38

766,2023-10-06,17:26

767,2023-10-06,8:9

768,2023-10-06,22:57

769,2023-10-06,10:32

770,2023-10-06,15:50

771,2023-10-06,9:28

772,2023-10-06,10:1

773,2023-10-06,17:35

774,2023-10-06,15:54

775,2023-10-06,6:53

776,2023-10-06,19:52

777,2023-10-06,10:32

778,2023-10-06,4:49

779,2023-10-06,0:6

780,2023-10-06,5:15

781,2023-10-06,23:55

782,2023-10-06,16:46

783,2023-10-06,8:8

784,2023-10-06,12:51

785,2023-10-06,22:19

786,2023-10-06,6:27

787,2023-10-06,16:19

788,2023-10-06,12:13

789,2023-10-06,15:47

790,2023-10-06,4:22

791,2023-10-06,21:49

792,2023-10-06,12:1

793,2023-10-06,0:51

794,2023-10-06,10:47

795,2023-10-06,7:13

796,2023-10-06,2:13

797,2023-10-06,3:47

798,2023-10-06,16:55

799,2023-10-06,22:37

800,2023-10-06,20:1

801,2023-10-06,23:4

802,2023-10-06,0:52

803,2023-10-06,12:43

804,2023-10-06,7:40

805,2023-10-06,18:26

806,2023-10-06,1:50

807,2023-10-06,2:22

808,2023-10-06,13:39

809,2023-10-06,10:21

810,2023-10-06,1:22

811,2023-10-06,5:12

812,2023-10-06,2:33

813,2023-10-06,22:28

814,2023-10-06,12:55

815,2023-10-06,2:46

816,2023-10-06,23:14

817,2023-10-06,11:50

818,2023-10-06,9:9

819,2023-10-06,19:30

820,2023-10-06,10:55

821,2023-10-06,0:45

822,2023-10-06,11:54

823,2023-10-06,9:53

824,2023-10-06,3:28

825,2023-10-06,5:15

826,2023-10-06,21:54

827,2023-10-06,4:12

828,2023-10-06,15:38

829,2023-10-06,21:18

830,2023-10-06,3:58

831,2023-10-06,14:30

832,2023-10-06,0:3

833,2023-10-06,3:51

834,2023-10-06,9:54

835,2023-10-06,19:56

836,2023-10-06,22:4

837,2023-10-06,1:35

838,2023-10-06,2:45

839,2023-10-06,22:18

840,2023-10-06,1:38

841,2023-10-06,16:4

842,2023-10-06,15:14

843,2023-10-06,6:29

844,2023-10-06,6:43

845,2023-10-06,12:9

846,2023-10-06,16:16

847,2023-10-06,11:14

848,2023-10-06,7:41

849,2023-10-06,15:17

850,2023-10-06,18:44

851,2023-10-06,2:56

852,2023-10-06,6:28

853,2023-10-06,20:35

854,2023-10-06,19:20

855,2023-10-06,22:58

856,2023-10-06,5:4

857,2023-10-06,6:47

858,2023-10-06,1:16

859,2023-10-06,6:14

860,2023-10-06,7:17

861,2023-10-06,16:41

862,2023-10-06,21:32

863,2023-10-06,21:55

864,2023-10-06,3:32

865,2023-10-06,3:23

866,2023-10-06,18:0

867,2023-10-06,13:52

868,2023-10-06,10:6

869,2023-10-06,0:33

870,2023-10-06,13:9

871,2023-10-06,1:33

872,2023-10-06,5:59

873,2023-10-06,17:34

874,2023-10-06,22:44

875,2023-10-06,17:52

876,2023-10-06,19:58

877,2023-10-06,21:54

878,2023-10-06,5:14

879,2023-10-06,7:2

880,2023-10-06,13:14

881,2023-10-06,21:50

882,2023-10-06,21:25

883,2023-10-06,15:20

884,2023-10-06,1:40

885,2023-10-06,15:34

886,2023-10-06,21:34

887,2023-10-06,10:16

888,2023-10-06,11:10

889,2023-10-06,8:53

890,2023-10-06,11:17

891,2023-10-06,23:19

892,2023-10-06,9:21

893,2023-10-06,18:57

894,2023-10-06,14:11

895,2023-10-06,9:27

896,2023-10-06,5:8

897,2023-10-06,21:55

898,2023-10-06,3:12

899,2023-10-06,7:45

900,2023-10-06,22:52

901,2023-10-06,16:55

902,2023-10-06,19:39

903,2023-10-06,3:16

904,2023-10-06,14:60

905,2023-10-06,13:11

906,2023-10-06,19:52

907,2023-10-06,16:34

908,2023-10-06,7:49

909,2023-10-06,1:15

910,2023-10-06,0:39

911,2023-10-06,18:20

912,2023-10-06,18:2

913,2023-10-06,12:23

914,2023-10-06,10:55

915,2023-10-06,2:1

916,2023-10-06,8:44

917,2023-10-06,16:6

918,2023-10-06,18:2

919,2023-10-06,0:31

920,2023-10-06,10:39

921,2023-10-06,17:12

922,2023-10-06,5:10

923,2023-10-06,21:47

924,2023-10-06,16:26

925,2023-10-06,20:21

926,2023-10-06,14:34

927,2023-10-06,5:24

928,2023-10-06,23:16

929,2023-10-06,17:2

930,2023-10-06,9:50

931,2023-10-06,12:48

932,2023-10-06,22:11

933,2023-10-06,8:14

934,2023-10-06,10:38

935,2023-10-06,8:8

936,2023-10-06,1:55

937,2023-10-06,16:2

938,2023-10-06,2:20

939,2023-10-06,23:52

940,2023-10-06,20:47

941,2023-10-06,22:29

942,2023-10-06,7:42

943,2023-10-06,15:31

944,2023-10-06,19:25

945,2023-10-06,21:34

946,2023-10-06,19:23

947,2023-10-06,10:24

948,2023-10-06,8:10

949,2023-10-06,8:23

950,2023-10-06,20:40

951,2023-10-06,0:21

952,2023-10-06,3:14

953,2023-10-06,19:33

954,2023-10-06,2:11

955,2023-10-06,10:52

956,2023-10-06,18:15

957,2023-10-06,22:34

958,2023-10-06,19:56

959,2023-10-06,9:5

960,2023-10-06,6:57

961,2023-10-06,0:9

962,2023-10-06,7:13

963,2023-10-06,14:45

964,2023-10-06,11:31

965,2023-10-06,23:56

966,2023-10-06,8:41

967,2023-10-06,19:59

968,2023-10-06,20:16

969,2023-10-06,8:53

970,2023-10-06,8:51

971,2023-10-06,19:42

972,2023-10-06,14:9

973,2023-10-06,8:6

974,2023-10-06,0:59

975,2023-10-06,11:8

976,2023-10-06,3:47

977,2023-10-06,3:46

978,2023-10-06,17:11

979,2023-10-06,6:33

980,2023-10-06,2:15

981,2023-10-06,13:31

982,2023-10-06,7:51

983,2023-10-06,19:59

984,2023-10-06,2:58

985,2023-10-06,12:35

986,2023-10-06,23:33

987,2023-10-06,7:19

988,2023-10-06,19:10

989,2023-10-06,21:3

990,2023-10-06,15:35

991,2023-10-06,0:40

992,2023-10-06,11:15

993,2023-10-06,15:30

994,2023-10-06,8:35

995,2023-10-06,14:53

996,2023-10-06,14:34

997,2023-10-06,9:24

998,2023-10-06,21:2

999,2023-10-06,3:51

